Año,Tipo de recogida,Bilketa mota,Clasificación,Sailkapena,Subclasificación,Azpisailkapena,Ambito,Eremua,Total (kg)
2012,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Contenedores vía pública y grandes productores recogida trasera,Bide publikoko edukiontziak eta ekoizle handiak. Atzeko bilketa,URBANO,HIRIA,236220
2012,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Parte Vieja,Parte Zaharra,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Envases ligeros,Ontzi arinak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2012,Recogida selectiva,Gaikako bilketa,Vidrio,Beira,Contenedores vía pública de vidrio,Bide publikoko beira edukiontziak,URBANO,HIRIA,5371389
2012,Recogida selectiva,Gaikako bilketa,Vidrio,Beira,Vídrio hostelería difícil acceso,Sarbide zaileko ostalaritza establezimenduetako beira,URBANO,HIRIA,1212046
2012,Recogida selectiva,Gaikako bilketa,Pilas,Pilak,Contenedores en la vía pública y puntos de recogida,Bide publikoko eta bilketa puntuetako edukiontziak,URBANO,HIRIA,24386
2012,Recogida selectiva,Gaikako bilketa,Textiles,Oihalak,Contenedores en vía pública de textiles,Bide publikoko oihal edukiontziak,URBANO,HIRIA,538592
2012,Recogida selectiva,Gaikako bilketa,Aceite cocina,Sukaldeko olioa,Contenedores en vía pública,Bide publikoko edukiontziak,URBANO,HIRIA,10045
2012,Recogida selectiva,Gaikako bilketa,Aceite cocina,Sukaldeko olioa,Punto verde móvil,Puntu berde mugigarria,URBANO,HIRIA,37525
2012,Recogida selectiva,Gaikako bilketa,Vidrio plano,Beira zapala,Garbigunes vidrio plano,Garbiguneetako beira zapala,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Vidrio plano,Beira zapala,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2012,Recogida selectiva,Gaikako bilketa,Plásticos,Plastikoak,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Plásticos,Plastikoak,Otros productores (Merkabugati),Beste ekoizle batzuk (Merkabugati),URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Plásticos,Plastikoak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2012,Recogida selectiva,Gaikako bilketa,Restos de jardín,Lorategi hondakinak,Material no leñoso: hierba, Egurra ez den materiala: belarra,URBANO,HIRIA,215000
2012,Recogida selectiva,Gaikako bilketa,Restos de jardín,Lorategi hondakinak,Material leñoso: ramas,Zurezko materiala: adarrak,URBANO,HIRIA,344380
2012,Recogida selectiva,Gaikako bilketa,Restos de jardín,Lorategi hondakinak,Garbigune,Garbiguneak,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Restos de jardín,Lorategi hondakinak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2012,Recogida selectiva,Gaikako bilketa,Maderas,Zurak,Maderas ayuntamiento,Zurak Udala,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Maderas,Zurak,Garbigune,Garbiguneak,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Maderas,Zurak,Otros productores (Merkabugati),Beste ekoizle batzuk (Merkabugati),URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Maderas,Zurak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2012,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Voluminosos-ayuntamiento,Udaleko tamaina handiko hondakinak,URBANO,HIRIA,2143220
2012,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2012,Recogida selectiva,Gaikako bilketa,Voluminosos,Tamaina handiko hondakinak,Asentamiento incontrolado,Kontrolatu gabeko kokagunea,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,RAEE (Recogidos por los servicios municipales),TEEH (Udal zerbitzuek bildutakoak),URBANO,HIRIA,2820
2012,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,Punto verde móvil,Puntu berde mugigarria,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,RAEE,TEEH,Recogida comercial e industrial,Merkataritza eta industria bilketa,INDUSTRIAL,INDUSTRIA,0
2012,Recogida selectiva,Gaikako bilketa,Chatarra,Txatarra,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Residuos peligrosos de origen doméstico,Etxean sortutako hondakin arriskutsuak,Punto verde móvil,Puntu berde mugigarria,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Residuos peligrosos de origen doméstico,Etxean sortutako hondakin arriskutsuak,Garbigunes,Garbiguneak,URBANO,HIRIA,0
2012,Recogida selectiva,Gaikako bilketa,Neumáticos,Pneumatikoak,Garbigune,Garbiguneak,URBANO,HIRIA,0
2012,Rechazo,Errefusa,Rechazo    ,Errefusa,Basura domiciliaria,Etxeko zaborra,URBANO,HIRIA,52415440
2012,Rechazo,Errefusa,Rechazo    ,Errefusa,Mercados,Merkatuak,URBANO,HIRIA,1112080
2012,Rechazo,Errefusa,Rechazo    ,Errefusa,Recogida rural,Landako bilketa,URBANO,HIRIA,166760
2012,Rechazo,Errefusa,Rechazo    ,Errefusa,Garbigune (escombro),Garbigunea (obra hondakinak),URBANO,HIRIA,0
2012,Rechazo,Errefusa,Rechazo    ,Errefusa,Garbigune (Inerte),Garbigunea (hondakin geldoak),URBANO,HIRIA,0
2012,Rechazo,Errefusa,Rechazo    ,Errefusa,Recogida comercial e industrial (orgánico no reciclable),Merkataritza eta industria bilketa (organiko birziklaezina),INDUSTRIAL,INDUSTRIA,0
2012,Rechazo,Errefusa,Rechazo    ,Errefusa,Recogida comercial e industrial (inerte),Merkataritza eta industria bilketa (hondakin geldoak),INDUSTRIAL,INDUSTRIA,0
2012,Rechazo,Errefusa,Rechazo    ,Errefusa,Asentamiento incontrolado,Kontrolatu gabeko kokagunea,URBANO,HIRIA,0
2012,Rechazo,Errefusa,Limpieza viaria,Bide garbiketa,Limpieza viaria ayuntamiento,Bide garbiketa Udala,URBANO,HIRIA,1770660
2012,Rechazo,Errefusa,Limpieza viaria,Bide garbiketa,Limpieza playas,hondartzen garbiketa,URBANO,HIRIA,36000
2012,Rechazo,Errefusa,Limpieza viaria,Bide garbiketa,Mezcla orgánica ayuntamiento,organiko nahasketa udala,URBANO,HIRIA,269680
2013,Autocompostaje,Autokonpostajea,Autocompostaje,Autokonpostajea,Autocompostaje,Autokonpostajea,,,317075
